DENOMINAÇÃO SOCIAL ,NOME DE PREGÃO,CÓDIGO,CNPJ,DATA REGISTRO,DATA DE CANCELAMENTO,ÚLTIMO ENDEREÇO E ; TELEFONE DA SEDE ,MOTIVO DO CANCELAMENTO
BARIGUI SECURITIZADORA S.A.,BARIGUI SEC ,ASTE,10.608.405/0001-60,12/29/2009,1/5/2017,"Rua Álvares Anes, 46 - 11º andar, Conjunto 113; CEP: 05421-010; São Paulo-SP; Tel.: (11) 3562-9081",Não iniciou a negociação de seus valores mobiliários até o prazo máximo previsto no Regulamento para Listagem de Emissores e Admissão à Negociação de Valores Mobiliários da BM&FBOVESPA.
BARRETTO DE ARAÚJO PRODS. DE CACAU S.A.,BARRETTO,BAPC,15.125.339/0043-40 ,6/7/1984,5/11/2005,"Av. Estados Unidos,397 - 8ºandar / Cjto. 809
; CEP: 40010 - 000 
; Salvador - BA
; Tel.: (71)243-5711 
",Registro cancelado pela BVBSA em 07/05/2004 . A BOVESPA cancelou a autorização para negociação em 11/05/1998 e tomou conhecimento do cancelamento de registro por parte da BVBSA em 11/05/2005.
BCO DAYCOVAL S.A.,DAYCOVAL ,DAYC,62.232.889/0001-90,6/27/2007,3/1/2017,"Avenida Paulista, 1793; CEP: 01311-200; São Paulo - SP; Tel.: (11) 3138-1025",A companhia requereu o cancelamento na BM&FBOVESPA em 08/02/2017. Desde 24/08/2016 as ações de emissão da companhia deixaram de ser negociadas na BM&FBOVESPA tendo em vista a realização de OPA para saída do Nível 2 e conversão da categoria A para B 
BCO PATAGONIA S.A.,PATAGONIA,BPAT,08.884.213/0001-35,7/9/2007,10/28/2019,0; -; -; -,Cancelou registro de emissor estrangeiro.
BCO SANTANDER S.A.,BANSANTANDER,BSAN,05.707.616/0001-10,8/7/2014,11/28/2018,Avenida de Cantabria;;Madri-Espanha; Tel.: + 34 90211-2211,Programa de BDR´S cancelado pela CVM. 
BCO SOFISA S.A.,SOFISA ,SFSA,60.889.128/0001-80,4/26/2007,11/28/2016,"Alameda Santos, 1496 - 10º andar; CEP: 01418-100; São Paulo-SP; Tel.: (11) 3176-5836","Cancelou registro de cia aberta. A acionista controladpra realizou OPA na BMFBOVESPA em 25/10/2016 ao preço de R$ 4,50/ação. "
BCO. do  ESTADO DE SANTA CATARINA S.A.,BESC,BSCT,83.876.003/0001-10,1/9/1970,3/4/2009,"Praça XV de Novembro, 239 - 6º andar; CEP:88010-901; Florianópolis - SC; Tel.:(48)3216-6515","Incorporado pelo Banco do Brasil S.A.Cada 12,13308922 ações ON, PNA e PNB foram substituídas por uma ação ON do Banco do Brasil S.A."
BCO. ESTADO DE SÃO PAULO S.A. - BANESPA,BANESPA,BESP,61.411.633/0001-87,19/06/1925,4/11/2007,"Praça Antônio Prado, 06 ; CEP:01010-010; São Paulo - SP; Tel.:(11)5538-8783","Incorporado pelo Banco Santander Banespa S.A. (atual denominação social do Banco Santander Meridional S.A.). Cada ação foi substituída por 2,245345 ações do Banco Santander Banespa S.A., respeitadas as espécies."
BCR - BANCO DE CRÉDITO REAL S.A.,BCR BANCO ,CSUL,92.691.328/0001-10,1/3/1972,3/3/1999,"Rua Sete de Setembro,1087 
; CEP: 90010-191
; Porto Alegre - RS
; Tel.:  (51)228-1922","Cancelou registro de Cia Aberta. O acionista controlador, Banco Bradesco S.A. realizou OPA na BOVESPA em 14/01/1999 ao preço de R$ 39,99 /mil ações."
BELAPART S.A.,BELAPART ,PBEL ,01.608.571/0001-76,5/8/1997,4/28/1999,"Av. Presidente Wilson,231 - 28ºandar / Parte 
; CEP: 20030-021          
; Rio de Janeiro - RJ
; Tel.:  (21)2804-3700 
",Mudou registro para Balcão Organizado (SOMA).
BEMATECH S.A.,BEMATECH,BEMA,82.373.077/0001-71,4/17/2007,2/5/2016,"Avenida Rui Barbosa, 2529 - Módulos 7 e 8; Cep: 83055-320; São José dos Pinhais-PR; Tel.: (41) 3299-5800","Solicitou a BM&FBovespa o cancelamento voluntário de listagem, tendo em vista que tornou-se uma subsidiaria integral da Totvs S.A"
BENZENEX S.A. ADUBOS E INSETICIDAS ,BENZENEX,BZNX,61.288.916/0001-83 ,8/12/1971,4/8/1999,"Av. Henry Ford,803
; CEP: 06210-108
; Osasco - SP 
; Tel.:  (11)7085-8500","Cancelou registro de Cia Aberta. O acionista controlador, Fertibrás S.A. Adubos e Inseticidas realizou OPA na BOVESPA em 08/03/1999 ao preço de R$ 8,89 /ação."
BERGAMO CIA INDUSTRIAL,BERGAMO ,BERG,60.881.364/0001-50,8/19/1971,8/23/2005,"Av. Orlando Bergamo,100
; CEP: 07232 - 151
; Guarulho - SP
; Tel.: (11)6487-1906
",Falta de atualização do registro perante a BOVESPA.
BETA S.A. INDÚSTRIA E COMÉRCIO,BETA,BTAS,04.381.091/0001-03,2/17/1981,2/9/1999,"Rua Almir Pedreira,188
; CEP: 69063-330
; Manaus - AM
; Tel.:  (92)663-5600",Falta de atualização do registro perante a BOVESPA.
BETA SECURITIZADORA S.A.,BETA SECURIT,BTSC,07.021.459/0001-10,6/15/2005,8/27/2020,"Rua Minas de Prata, 30 - 15º andar; CEP: 04552-080; São Paulo-SP; Tel.: (11) 3165-2000",Incorporada pela Isec Securitizadora S.A.
BGPAR S.A.,BGPAR,BGPR,04.987.555/0001-20,1/6/2004,26/10/2011,"Rua Vergueiro, 2087 Conjunto 503; CEP:04101-000; São Paulo - SP; Tel.:(51) 3311-3622",Cancelou o registro de cia. aberta. 
BHG S.A. - BRAZIL HOSPITALITY GROUP,BHG ,BHGR,08.723.106/0001-25,7/12/2007,7/14/2015,"Rua do Passeio, 56, 14º andar; CEP: 20021-290; Rio de Janeiro-RJ; Tel,: (21) 2517-9806","Cancelou registro de cia aberta. A Razuya Empreendimentos e Participações S.A. realizou OPA na BMFBOVESPA em 30/04/2015 ao preço de R$ 19,00 /ação. "
BIOBRÁS S.A.,BIOBRAS,BIOB,16.921.603-0001-66,11/27/1980,11/29/2002,"Av. C,1413
; CEP: 39404 - 004
; Montes Claros - MG
; Tel.: (38)3229-6200 ","Cancelou registro de Cia Aberta . O acionista controlador, NN Holding do Brasil Ltda. realizou  OPA na BOVESPA em 19/11/2002 ao preço de R$ 8,25 /ação."
BLUE TREE HOTELS E RESORTS DO BRASIL S.A.,BLUE TREE,CTWR,66.542.002/0001-10,29/03/1999,2/8/2008,"Av. das Nações Unidas, 10.989  - Cjto.72; CEP:04578-000; São Paulo - SP; Tel.:(11)2185-2500","Na AGE de 06/11/2007, foi aprovado o cancelamento do registro de Cia. Aberta, com o pedido de dispensa da realização de OPA."
BOLSA DE MERCADORIAS E FUTUROS - BMF S.A.,BMF,BMEF,08.936.812/0001-55,28/11/2007,25/08/2008,"Praça Antonio Prado, 48 ; CEP:01010-901; São Paulo - SP; Tel.:(11)3119-2543","Incorporada pela BM&F Bovespa S.A. - Bolsa de Valores, Mercadorias e Futuros. Cada uma ação ON foi substituída por uma ação ON da BM&F Bovespa S.A. - Bolsa de Valores, Mercadorias e Futuros."
BOMBRIL HOLDING S.A.,BOMBRIL HLD,FPXE,00.257.846/0001-01,1/12/1996,23/08/2011,"Via Anchieta, KM 14 ; CEP:09696-000; Eldorado do Sul - SP; Tel.:(11)3846-6537",Cancelou o registro de cia aberta. Não admitida à cotação na BMFBOVESPA. 
BOMPREÇO BAHIA S.A. ,BOMPRECO BAH,IDCO,97.422.620/0001-50,22/06/1994,21/02/2006,"Rod. Salvador Feira  - BR 324 km 8,  ; CEP:40330-730; Salvador - BA; Tel.:(71)390-2346","Cancelou registro de Cia Aberta.  Considerando que o único acionista da Bompreço Bahia S.A. era o acionista controlador, a CVM  dispensou a obrigatoriedade da realização de Oferta Pública de Compra de Ações."
BOMPREÇO S.A. SUPERMERCADOS DO NORDESTE,BOMPRECO,BPCO,13.004.510/0001-89,11/4/1996,2/13/2002,"Av. Caxanga,3841
; CEP: 50670 - 902
; Recife - PE 
; Tel.: (81)3271-7143 ","Cancelou registro de Cia Aberta . O acionista controlador, BR Participações e Empreendimentos S.A. realizou OPA na BOVESPA em 12/12/2001 ao preço de R$ 12,00 /ação."
BONAIRE PARTICIPAÇÕES S.A.,BONAIRE PART,BNPA,02.117.801/0001-67,11/3/1997,3/27/2001,"Av. Presidente Juscelino Kubitschek,50 - 18ºandar 
; CEP: 04543 - 000 
; São Paulo - SP 
; Tel.: (11)3040-4500",Mudou registro para Balcão Organizado (SOMA).
BORGHOFF  S.A. ,BORGHOFF,BGFF,33.323.742/0001-07 ,12/29/1971,5/12/1999,"Rua Riachuelo,243
; CEP: 20230-011
; Rio de Janeiro - RJ
; Tel.:  (21)507-2156","Incorporada pela Conceição Participações S.A.
A BOVESPA cancelou autorização para negociação em 05/05/1999. "
BORLEM S.A. EMPREENDIMENTOS INDÚSTRIAIS,BORLEM,BLME,60.943.388/0001-96,5/6/1965,3/12/1999,"Rua John Richardson Cordeiro e Silva,11
; CEP: 07042-050
; Guarulhos - SP
; Tel.:  (11)6421-1700","Cancelou registro de Cia Aberta. O acionista controlador, Hayes Lemmerz Holdings GMDH realizou OPA na BOVESPA em 29/01/1999 ao preço de R$ 336,58 /ação. "
BÓSFORO PARTICIPAÇÕES S.A.,BOSFORO,BSFO,00.183.435/0001-19,10/24/1994,9/15/1999,"Rua Dr.Rubens Meirelles,380 - Ed.2
; CEP: 01141-000
; São Paulo - SP
; Tel.:  (11)3824-1755",Incorporada pela Actori Participações S.A.
BOTUCATU TÊXTIL S.A.,BOTUCATU TEX,STRP,61.087.581/0001-35,8/27/1984,7/11/2012,"Avenida Deputado Dante Delmanto, 3010/3020; CEP: 18608-393; São Paulo - SP; Tel.: (14) 2799-9900",Cancelou registro de cia aberta.
BOVESPA HOLDING S.A.,BOVESPA HLD,BOVH,08.695.953/0001-23,23/10/2007,9/1/2008,"Rua XV de Novembro , 275 - 10º andar; CEP:01013-001; São Paulo - SP; Tel.:(11)3233-2431","Incorporada pela BM&F Bovespa S.A. - Bolsa de Valores, Mercadorias e Futuros. Cada ação foi substituída por 1,42485643 ação ON da BM&F Bovespa S.A. - Bolsa de Valores, Mercadorias e Futuros."
BPMB I PARTICIPAÇÕES S.A.,BPMB I PART,BPMP,15.483.430/0001-89,3/22/2013,1/18/2016,"Avenida Brigadeiro Faria Lima, 3477; Cep: 04538-133; São Paulo - SP; Tel.: (11) 3383-2500",Incorporada pelo Banco BTG Pactual.
BR HOME CENTERS S.A.,BR HOME ,HCBR,11.102.250/0001-59,9/30/2015,8/14/2019,"Rua Tapuaua - Quadra 2 - Lote 6-E, Sala 1;CEP: 74911-815; Aparecida de Goiania -GO; Tel.: (62) 4012-5121",Cancelou registro de cia. aberta.
BRADESCO BCN LEASING S.A. ARRENDAMENTO MERCANTIL ,BRADESCO BCN,BCLM,62.868.302/0001-33,8/13/2003,3/30/2005,"Al. Madeira,222        Sobreloja / Parte 
; CEP: 06454 - 010
; Barueri - SP 
; Tel.: (11)4195-0554 ","Incorporado pelo Bradesco Leasing S.A.  Arrendamento Mercantil (BDLS-CNPJ 47.509.120/0001-82). Cada ação foi substituída por 0,010139445 ações do Bradesco Leasing S.A. Arrendamento Mercantil."
BRADESCO LEASING S.A. ARREND. MERCANTIL,BRADESCO LSG,BBLS,43.833.821/0001-11,9/17/1991,3/23/2004,"Cidade de Deus,S/N
; CEP: 06029 - 900
; Osasco - SP 
; Tel.: (11)3684-5376 ","Incorporado pelo Bradesco BCN Leasing S.A. Arrendamento Mercantil, as debêntures foram convertidas em debêntures do Bradesco BCN Leasing."
BRAMPAC S.A.,BRAMPAC,ITPS,61.149.084/0001-14 ,9/23/1971,9/27/2000,"Rua Tenente Negrão,140 - 13ºandar
; CEP: 04530 - 030 
; São Paulo - SP 
; Tel.: (11)3049-1330 ","Cancelou registro de Cia Aberta . O acionista controlador, Jacques Siekierski realizou OPA na BOVESPA em 31/07/2000 ao preço de R$ 23,55 /mil ações."
BRASIL E MOVIMENTO S.A.,SUNDOWN MOTO,SNDW,84.489.996/0001-30,6/9/2006,31/03/2009,"Av. dos Oitis, 2.214  - Dist. Indl.; CEP:69088-480; Manaus - AM; Tel.:(92)2121-1400",Cancelou o registro de Cia Aberta. Nâo estava admitida à cotação na BM&FBOVESPA.
BRASIL FERROVIAS S.A.,BR FERROVIAS,FRPS,02.457.269/0001-27,24/08/1998,21/07/2008,"Rua do Rocio, 351  - 3º andar / Cj.31; CEP:04552-905; São Paulo - SP; Tel.:(41)2141-7910","Incorporada pela All América Latina Logística S.A. Cada lote de 1.000 ações ON ou PN foram substituídas por 8,24454757 ações da All América Latina Logística S.A. "
BRASIL PHARMA S.A.,BR PHARMA,BPHA,11.395.624/0001-71,6/22/2011,6/26/2019,"Rua dos Pinheiros, 498 - 1º andar - Parte 3; CEP: 05422-902; São Paulo - SP; Tel.: (11) 2117-5200",Em 10/06/2019 foi decretada a falência da companhia. 
BRASIL TELECOM PARTICIPAÇÕES S.A.,BRASIL T PAR,BRTP,02.570.688/0001-70,9/11/1998,30/11/2009,"SIA/SUL - ASP - LOTE D  / BL. A,  ; CEP:71215-000; Brasilia - DF; Tel.:(61)3415-1140","Incorporada pela Brasil Telecom S.A Cada ação ON foi substituída po 1,2190981 ação ordinária da Brasil Telecom S.A. e cada ação preferencial foi substituída por 0,1720066 ação ordinária e 0,9096173 ação preferencial da Brasil Telecom S.A. p"
BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S.A.,BR TRAVEL,BTUR,13.776.362/0001-10,1/30/2012,9/11/2012,"Rua Fidêncio Ramos, 195 - Cj. 15; CEP: 04551-010; São Paulo - SP; Tel.: (11)3045-2553",Cancelou registro de cia. aberta.
BRASILIT S.A.,BRASILIT,LITS,61.064.838/0001-33 ,4/23/1947,6/4/2001,"Av. Santa Marina,482 - 1ºandar
; CEP: 05036 - 903
; São Paulo - SP
; Tel.: (11)3613-5800","Cancelou registro de Cia Aberta . O acionista controlador, Saint-Gobain Promotion ET Participations Internationales - S.G.P.P.I., realizou OPA na BOVESPA em 09/05/2001 ao preço de R$ 3,61 /ação."
BRASMOTOR S.A.,BRASMOTOR ,BMTO,61.084.984/0001-20,10/23/1946,12/23/2016,"Avenida das Nações Unidas, 12995, 32º andar; CEP: 04578-000; São Paulo - SP; Tel.: (11) 3787-6102","Cancelou registro de cia aberta. A Whirlpool do Brasil Ltda realizou OPA na BMFBOVESPA em 08/12/2016 ao preço de R$ 7,82/ação. "
BRASPÉROLA INDÚSTRIA E COMÉRCIO S.A.,BRASPEROLA,BPLA,11.703.519/0001-52,5/4/1989,1/9/2004,"Rua Guilhermina Guinle,272 - 
7ºandar
; CEP: 22270 - 060
; Rio de Janeiro - RJ 
; Tel.: (21)2539-1122 ",Falta de atualização do registro perante a BOVMESB. A BOVESPA cancelou a autorização para a negociação em 06/11/2002. 
BRAUSTAM HOTÉIS REIT S.A.,BRAUSTAM ,BRAU,01.946.997/0001-30 ,5/14/2003,7/25/2005,"Av. dos Coqueiros,4000
; CEP: 61600 - 000 
; Caucaia - Ce
; Tel.: (85)268-2132 
",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
BRAZAL - BRASIL ALIMENTOS S.A.,PORCAO,PORC,10.826.798/0001-89,12/11/2009,9/2/2016,"Avenida Rebouças, 765 - 3º andar; CEP: 05401-100; São Paulo-SP; Tel.: (11) 3262-0489",Cancelou registro de cia. aberta.
BRAZIL FAST FOOD CORPORATION,BOBS,BOBS,00.000.000/0000-00,7/29/1998,12/30/2002,"Av. Brasil,6431
; CEP: 21040 - 060
; Rio de Janeiro - RJ
; Tel.: (21)2598-5700 ",Programas de BDR´S cancelado pela CVM. 
BRAZILIAN FINANCE E REAL ESTATE S.A.,BRAZILIAN FR,BFRE,02.762.113/0001-50,10/1/2007,13/03/2012,"Avenida Paulista, 1374 15º andar; CEP:01310-100; São Paulo - SP; Tel.:(11) 4081-4477",Mudou registro para o Mercado de Balcão Não Organizado.
BRC SECURITIZADORA S.A.,BRC SECURIT ,BRCS,08.653.753/0001-08,4/20/2007,8/19/2020,"Rua Hungria, 620 - 4º andar/Cj 42; CEP: 01455-000; São Paulo-SP; Tel.:(11) 4058-4555",Em 29/06/2020 foi aprovada a dissolução e liquidação da companhia. 
BROOKFIELD INCORPORAÇÕES S.A.,BROOKFIELD ,BISA ,07.700.557/0001-84,10/9/2006,8/26/2016,"Avenida Magalhães de Castro, 4800 - Salas 11,12,21; Cep: 05676-120; São Paulo - SP; Tel.: (11)4096-6455",Cancelou registro de cia. aberta.
BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.,COMPANY,CPNY,58.877.812/0001-08,2/22/2006,6/22/2012,"Avenida das Nações Unidas, 14171 - Torre B/14º andar; CEP: 04794-000; São Paulo - SP; Tel.: (11) 3127-9423","Incorporada pela Brascan SPE SP-3 S.A., seguida do resgate das ações preferenciais emitidas pela Brascan e complementada pela imediata incorporação da Brascan pela Brookfield Incorporações S.A."
BRPR 45 SECURITIZADORA CRED IMOB S.A.,BRPR 45 SEC ,FDCS,07.088.416/0001-52,12/22/2005,11/17/2017,"Avenida das Nações Unidas, 12495 - Torre A/18 andar; CEP: 04578-000; São Paulo-SP; Tel.: (11) 3201-1000",Cancelou registro de cia. aberta.
BRPR 51 Securitizadora de Créditos Imobiliários S.A.,BRPR 51 SEC ,WTSC,04.800.265/0001-25,3/10/2004,10/27/2015,"Avenida das Nações Unidas, 12.495 - Torre A/18º andar; CEP: 04578-000; São Paulo-SP; Tel: (11) 3201-1000",Cancelou registro de cia. aberta.
BRPR 52 SECURITIZADORA CRED IMOB S.A.,BRPR 52 SEC,WTTS,07.033.882/0001-30,3/8/2006,12/1/2015,"Avenida das Nações Unidas, 12495 - Torre A/18º andar; Cep: 04578-000; São Paulo-SP; Tel.: (11) 3201-1001",Cancelou registro de cia. aberta.
BRPR 53 SECURITIZADORA CRED IMOB S.A.,BRPR 53 SEC ,WTTC,04.370.082/0001-17,7/8/2003,10/27/2016,"Avenida das Nações Unidas, 12495 - Torre A/18º andar; Cep: 04578-000; São Paulo-SP; Tel.: (11) 3201-1000",Cancelou registro de cia. aberta.
BRPR 55 SECURITIZADORA CRED IMOB S.A.,BRPR 55 SEC ,WTVP,07.710.591/0001-30,3/8/2006,9/25/2019,"Avenida das Nações Unidas, 12495 - Torre A; CEP: 04578-000; São Paulo - SP; Tel.: (11) 3201-1000",Em AGE realizada em 08/04/2019 foi aprovada a incorporação da Companhia por sua controladora BR Properties S.A.
BS CONTINENTAL S.A. UTILIDADES DOMÉSTICAS,CONTINENTAL,CTLU,60.736.279/0001-06 ,8/24/1988,3/31/1999,"Rua Sarapuí,164
; CEP: 03123-900
; São Paulo - SP 
; Tel.:  (11)6915-3001","Cancelou registro de Cia Aberta. O acionista controlador, BSH Bosch Und. Siemens Hausgerate GMBH realizou OPA na BOVESPA em 10/03/1999 ao preço de R$ 9,59 /mil ações."
BS&C EMPREENDIMENTOS E PARTICIPACOES SA,WOW,WWOW,10.603.674/0001-34,11/19/2015,6/23/2016,"Rua Gomes de Carvalho, 1666 - Conjunto 42 , Sala 01; CEP: 04547-006; São Paulo-SP; Tel.: (11) 3549-8977",Cancelou registro de cia. aberta.
BTG PACTUAL SECURITIZADORA S.A.,BTG PACT SEC,BTSE,07.110.438/0001-71,12/13/2011,6/29/2015,"Praia de Botafogo, 501 -5º andar parte; CEP: 22250-040; Rio de Janeiro-RJ; Tel.: (21) 3262-9717",Cancelou registro de cia. aberta.
BUETTNER S.A. INDUSTRIA E COMERCIO,BUETTNER ,BUET,82.981.812/0001-20,4/16/1980,3/10/2017,"Rua Edgar Von Buettner, 941; CEP: 88355-350; Brusque - SC; Tel.: (47) 3211-4078",A companhia teve sua recuperação judicial convolada em falência. 
BUNGE ALIMENTOS S.A.,BUNGE ALIM,CEVA,84.046.101/0001-93,6/16/1980,10/15/2002,"Rod. Jorge Lacerda,S/N          Km 20
; CEP: 89110 - 000
; Gaspar - SC
; Tel.: (47)331-2222 ","Incorporada pela Serrana S.A.  Cada mil ações foram substituídas por 4,252251193 ações da Serrana S.A., obervando a espécie."
BUNGE BRASIL S.A. ,BUNGE BRASIL,MSAN,61.074.092/0001-49,8/22/1944,10/18/2004,"Av. Maria Coelho Aguiar,215 - 5ºandar / Bl.D
; CEP: 05804 - 900 
; São Paulo - SP 
; Tel.: (11)3741-3575","Cancelou registro de Cia Aberta . A acionista controladora, Bunge Participações Ltda. realizou OPA na BOVESPA em 27/09/2004 ao preço de R$ 6,22 /ação.

"
BUNGE FERTILIZANTES S.A.,BUNGE FERT,MAHS,61.082.822/0001-53,7/21/1948,10/15/2002,"Av. Maria Coelho Aguiar,215 - 
5ºandar / Bl.D 
; CEP: 05804 - 900
; São Paulo - SP 
; Tel.: (11)3741-3155 ","Incorporada pela Serrana S.A.  Cada mil ações foram substituídas por 18,208491246 ações da Serrana S.A., observada a espécie."
BV LEASING - ARRENDAMENTO MERCANTIL S.A.,BV LEASING ,BVLS ,01.858.774/0001-10,6/23/2006,8/27/2020,"Avenida das Nações Unidas, 14171 - Torre A / 12º andar; CEP: 04794-000; São Paulo-SP; Tel.: (11) 5171-2717",Cancelou registro de cia. aberta.
CAEMI MINERAÇÃO E METALURGIA S.A. ,CAEMI,CMET,31.865.728/0001-00,10/4/1989,20/07/2006,"Praia de Botafogo, 228  - 6º andar; CEP:22250-040; Rio de Janeiro - RJ; Tel.:(21)2553-3891","Incorporada pela Companhia Vale do Rio Doce. Cada ação PN foi substituída por 0,04115 ação PNA da Companhia Vale do Rio Doce."
CAFE SOLUVEL BRASILIA S.A.,CAF BRASILIA,CAFE,25.869.736/0001-21,9/18/1973,12/23/2014,"Rua Sara, 17; CEP: 20220-1900; Rio de Janeiro-RJ; Tel.: (35) 2106-1900",Cancelou registro de cia. aberta.
CAGECE - CIA DE AGUA E ESGOTO DO CEARA,CAGECE ,CAEC,07.040.108/0001-57,1/19/2000,1/5/2017,"Rua Doutor Lauro Vieira Chaves, 1030; CEP; 60420-901; Fortaleza-CE; Tel: (85) 3101-1809",Não iniciou a negociação de seus valores mobiliários até o prazo máximo previsto no Regulamento para Listagem de Emissores e Admissão à Negociação de Valores Mobiliários da BM&FBOVESPA.
CALÇADOS AZALEIA S.A ,AZALEIA,AZBR,98.408.073/0001-11,19/07/2001,16/10/2008,"Rua Dr. Legendre, 34 ; CEP:95630-000; Parobe - RS; Tel.:(51)5543-5376","Cancelou registro de Cia Aberta. O acionista controlador através de sua controlada Vulcabrás do Nordeste S.A., realizou OPA por meio da adoção de procedimento diferenciado ao preço de R$ 1,92/ação."
CAMARGO CORREA DESENVOLVIMENTO IMOBILIÁRIO S.A.,CC DES IMOB,CCIM,67.203.208/0001-89,1/29/2007,10/25/2012,"Av. das Nações Unidas, 12.995 - 15º andar; CEP: 04795-100; São Paulo-SP; Tel.: (11) 2383-6000","Cancelou o registro de Cia Aberta. O acionista controlador Camargo Corrêa S.A. realizou OPA na BM&FBOVESPA em 02/10/2012, ao preço de R$ 5,52/ação."
CARAIBA METAIS S.A.,CARAIBA MET,CRBM,15.224.488/0001-08,13/01/1992,13/01/2010,"Via do Cobre, 3.700  - COPEC; CEP:42810-330; Dias D Avila - BA; Tel.:(71)3634-1692","Incorporada pela Paranapanema S.A. Cada ação foi substituida por 6,94 ações ON da Paranapanema S.A."
CARGILL FERTILIZANTES S.A.,CARGILL FERT,SOLO,61.156.501/0001-56,4/23/1970,8/22/2003,"Av. Morumbi,8234 - 
3ºandar
; CEP: 04703 - 002
; São Paulo - SP 
; Tel.: (11)5099-3311","Cancelou registro de Cia Aberta . O acionista controlador, Cargill Agrícola S.A. realizou OPA na BOVESPA em 15/08/2003 ao preço de R$ 17,00 /ação."
CASA ANGLO BRASILEIRA S.A.,CASA ANGLO,CABR,61.565.511/0001-45,7/24/1942,3/28/2000,"Pça. Ramos de Azevedo,131
; CEP: 01037 - 010
; São Paulo - SP     
; Tel.: (11)3039-9400","Falta de atualização do registro perante a BOVESPA, falência decretada através da sentença proferida em 23/03/2000 na 18ª Vara Cível da Capital."
CASA JOSÉ SILVA CONFECÇÕES S.A. ,CASA J SILVA,CJSC,33.024.860/0001-14,6/5/1971,1/7/1999,"Rua Ana Neri,924 
; CEP: 20040-001
; Rio de Janeiro - RJ 
; Tel.:  (21)581-6622","Cancelou registro de Cia Aberta. O acionista controlador, C.J.S.- Adminstração e Participação Ltda. realizou OPA na BOVESPA em 18/12/1998 ao preço de R$ 0,07 /mil ações."
CASCAIS PARTICIPAÇÕES S.A.,CASCAIS PART,CAPA,02.036.214/0001-43 ,10/31/1997,12/13/1999,"Av. Rio Branco,138 - 8ºandar / Parte
; CEP: 20057-900 
; Rio de Janeiro - RJ
; Tel.:  (21)508-4000",Cancelou registro de Cia Aberta. Não estava admitida à cotação na BOVESPA.
